"","EARNINGS","NGDPIM","RGDPIM","M1MS","M2MS","VM1MS","RTWUSDI","PCONSEX","USRDPI","USNEWHP","USTOTNP","USINIJC","AVGWHP","ISMPMI","SPX500","SPXPERAT","SPXDIV","CBOEVIX","CORPEARSPX500","CORPEARSPX500MMA","WTI","GOLDFIX","POTNGDP","POTRGDP","USINFR","USUNEMR","USNUNEMR","R10YTR","N10YTR","N2YTR","N3YTR","N3MTR","N3MTBSECM","SPXDIVY","SPRD10Y3MT","SPRDTYC","SPRDTL","SPRDCPTB","CURVYC","IMPRP","IMEP","USROA","DOMTBANKPER","INVDOMTBANKPER","USEMR","USNEMR","ACTNSPRD","NOUTGAP","ROUTGAP","EXCBP","SPRDGZ","TEDS","CLEVFISTI","CycleEquilibrium","CycleEquilibrium.to.Peak","CycleEquilibrium.to.Pit","CyclePeak.to.Equilibrium","CyclePit.to.Equilibrium"
"14",0.0533459807052927,0.0160786406848512,0.0100390107610604,0.00458029515629654,0.00143864217015377,0.00239062987391625,-0.00768812133901342,0.0184825873413903,0.00574302688750095,0.458161795634786,0.00899264348997164,-0.165711502228335,0.00961545869944169,0.0246926125903713,-0.0560894666510432,-0.0626711069627754,0.0157483569681394,0.377623166027978,0.0533459807052927,0.0339015516756813,0.0884519002593991,-0.0251256347362023,0.0142344991451395,0.00828096730633021,-0.0016,-0.002,0,0.015,0.014,0.016,0.018,0.009,0.007,0.002,0.004,-0.007,-0.003,0.016,0.001,-0.005,-0.005,0,0.00800000000000001,-0.00800000000000001,0.002,0.000300000000000078,-0.001843463,0.001800649,0.001800649,-4.8,-1.8,15.3,0.09,0,0,0,0,1
"15",0.0756553612439101,0.0236541908978882,0.0180770637974774,0.00509040944730366,0.00402068318788196,0.00239062987391625,-0.00996134412967287,0.00790027124631543,0.0154694456163682,0.475192104184553,0.0101194703618148,0.0622423088772202,0.0193710657560002,0.0296447165849969,-0.0448855832361774,-0.0530244683082204,0.0078431774610257,0.0188821877213301,0.0756553612439101,0.0395789862806581,0.190966982000572,-0.00131010106515106,0.0186402986092045,0.0131104535214188,-0.0023,-0.005,0,0.013,0.01,0.013,0.014,0.00799999999999999,0.008,0.001,0.002,-0.006,-0.004,0.015,0.004,-0.003,-0.004,0,0.00800000000000001,-0.00800000000000001,0.00499999999999989,0.000300000000000078,-0.005073167,0.004971226,0.004971226,14.5,10.7,7.5,0.0399999999999999,0,0,0,0,1
"16",0.0972633054252068,0.0159117850356374,0.012404836242224,0.00332342443382139,-0.000287480237712856,0.0121827311688161,-0.0133039656263634,0.0134978949957052,0.0103925374828471,0.093582566359947,0.00879124607016024,0.0573309317391093,0.00239521072595439,0.032846513772296,-0.0195956629450498,-0.0243321006595307,0.0078431774610257,-0.126609655139953,0.0972633054252068,0.0391027260137427,0.261105875039686,0.00389762738453125,0.0119423628129027,0.00851200819708531,-0.000200000000000002,-0.004,0,0.005,0.00499999999999999,0.01,0.008,0.007,0.006,0.001,-0.001,-0.003,-0.002,0.01,0.005,0.004,-0.006,0,0.052,-0.052,0.00399999999999989,0.000300000000000078,-0.003990022,0.003914032,0.003914032,-2.1,-1.7,26.7,-0.67,0,0,0,0,1
"17",0.0893894993945969,0.0151413766763628,0.0101410462433176,0.0117941348787465,0.00172364305816508,0.0121827311688161,-0.0268172495111765,0.0106240727848625,0.0109315791555833,-0.105708887025223,0.008851362018655,-0.0355066884569091,0,0.01898245091229,0.00934794254254623,0,0.00778214044205505,-0.277413181248267,0.0893894993945969,0.0444517625708341,0.179577234290988,0.0215005660331187,0.0122946561508606,0.00725908178519852,0.0041,-0.003,0,-0.004,0,0.003,0.001,0.004,0.006,0,-0.004,0.002,-0.009,0.005,0.003,0.012,0.01,0,0.052,-0.052,0.00299999999999989,0.000299999999999967,-0.002910216,0.002856032,0.002856032,-2.6,-1.59999999999999,16.2,-0.17,0,0,0,0,1
"18",0.0796560848193102,0.00776200533548987,0.00361664047018806,0.00810850599811985,-0.00114711799215073,0.0121827311688161,-0.0213611269993681,0.0198059724826241,0.000427496586539178,0.000760745567308874,0.00855573410760613,-0.0203200024909567,0,-0.00344234419097322,0.0290699084132982,0.0147422817372034,0.00778214044205505,-0.156191129433956,0.0796560848193102,0.0438026226583927,0.027021219406913,-0.00262536249508383,0.00712442461169793,0.00285766998417181,0.0061,-0.001,0,-0.00600000000000001,0,0.002,0,0.004,0.004,0,-0.004,0.004,-0.006,-0.003,0.002,0.014,0.009,0,0.052,-0.052,0.001,0.000299999999999967,-0.000752838,0.000741978999999999,0.000741978999999999,2.9,-6.3,-2.5,-0.3,0,0,0,0,1
"19",0.0728877157484922,0.0107858237236638,0.00393324091359304,0.00609333361629716,0.00201062828039511,0.00439354229418121,-0.0294472013263007,0.0140065076578466,0.00646219599911824,-0.0872733971666824,0.00887095908919022,-0.0480572949537805,-0.0047961722634926,0.00339558900113879,0.0264714957925163,0.0146701897477937,0.00778214044205505,-0.0135137191667227,0.0728877157484922,0.0461176820949656,-0.0882522495776197,0.0154403479199647,0.00899618156132043,0.00211575206196812,0.0047,-0.002,0,-0.001,0.003,0.004,0.004,0.005,0.005,0,-0.003,0.005,-0.002,-0.004,0.002,0.002,-0.003,0,-0.104,0.104,0.002,0.000299999999999967,-0.001822886,0.001798503,0.001798503,-6.3,-4.2,10.5,0.13,0,0,0,0,1
"20",0.0842363504318033,0.0177379235983697,0.0120350464767771,-0.00287019114194464,-0.000574217644258468,0.00439354229418121,-0.0229105095205329,0.0193235663457489,0.0148138268627918,0.01898245091229,0.00749158420493679,-0.00301659353942618,0,0.0152674721307884,0.0270995604379953,0.0148150857851403,0.00772204609391025,0.200452140112139,0.0842363504318033,0.0453335413015208,-0.103383393138336,0.0110925940700763,0.0147310370285059,0.00897349070577036,-0.0016,-0.003,-0.001,0.009,0.00700000000000001,0.00800000000000001,0.00799999999999999,0.008,0.00700000000000001,-0.001,-0.001,0.004,0.002,0.003,0.003,-0.008,-0.01,0,-0.104,0.104,0.003,0.000199999999999978,-0.002997836,0.002959316,0.002959316,0.300000000000001,-1.80000000000001,-1,0.37,0,0,0,0,1
"21",0.0972067139308934,0.0107934129317648,0.00510128638141794,-0.000347403164862925,0,0.00439354229418121,-0.017192400540373,0.0130856576961733,0.013021938831697,-0.268849124118689,0.00853497647995383,-0.0358247265181451,0,0.0204785313435414,-0.00691745084368822,-0.0147422817372034,0.0153849188394792,0.320363367722233,0.0972067139308934,0.0501497836854718,-0.0170100123234036,0.0104603464249022,0.00675423878983139,0.0010991046002875,-0.0023,-0.004,-0.001,0.009,0.00700000000000001,0.012,0.012,0.01,0.008,0,-0.003,0.003,-0.004,0.011,0.006,-0.008,-0.023,0,-0.104,0.104,0.004,0.000199999999999978,-0.004054725,0.004015394,0.004015394,0.800000000000001,5.5,18.8,0.45,0,0,0,0,1
"22",0.111464298595844,0.0218932926815647,0.0167685334418159,-0.00260688364525485,0,0.0172297626674567,0.0125644142875503,0.0138335988073894,0.0135285736272888,-0.300340469323705,0.00781977082772656,-0.018634079544892,0.0047961722634926,-0.0504016313770688,-0.0255923748567763,-0.0345713440650885,0.0229895182246986,0.0693455429771173,0.111464298595844,0.0548082364949951,-0.0167585545886197,-0.0319134619615022,0.0177894933903637,0.0127502405353805,-0.0029,-0.004,-0.001,0.005,0.002,0.011,0.00899999999999999,0.009,0.01,0.001,-0.006,0.006,-0.01,0.016,0.01,-0.006,-0.000999999999999999,0,0.105,-0.105,0.004,0.000199999999999978,-0.004045904,0.004015171,0.004015171,20,11.7,14,0.66,0,0,0,0,1
"23",0.0897369169706801,0.0151840956687295,0.00972229880331099,-8.71042202543748e-05,0.0017216647007352,0.0172297626674567,0.0375257218915026,0.0079545405624728,0.00851092793864439,-0.405465108108165,0.00878584046087205,-0.0213748595847338,0,-0.0342499230430784,0.00322893402917224,-0.00985229644301144,0.0152674721307884,-0.217422244330601,0.0897369169706801,0.0565426502736943,0.017897569457543,-0.0291535482982379,0.0134112432528877,0.00798797698699083,0.0019,-0.002,0,-0.004,-0.002,0.00499999999999999,0.003,0.008,0.007,0,-0.01,0.011,-0.007,0.003,0.007,0.002,-0.001,0,0.105,-0.105,0.002,0.000299999999999967,-0.001811418,0.001796715,0.001796715,5.5,8.7,-11.2,-0.16,0,0,0,0,1
