"","x"
"1993-03-31",0.0888132855465328
"1993-04-30",0.0805519243886484
"1993-05-31",0.0780655251051843
"1993-06-30",0.0819107058680581
"1993-07-31",0.0795259934264464
"1993-08-31",0.0799308733033393
"1993-09-30",0.0816094092655344
"1993-10-31",0.0913364103910358
"1993-11-30",0.0894143969679878
"1993-12-31",0.0912786795606661
"1994-01-31",0.0816512348213122
"1994-02-28",0.0800696900767912
"1994-03-31",0.0785212323377976
"1994-04-30",0.0778212096886627
"1994-05-31",0.082255005350264
"1994-06-30",0.0823117044429669
"1994-07-31",0.0852675859515763
"1994-08-31",0.0853443141825126
"1994-09-30",0.0834773347952907
"1994-10-31",0.0908131149876216
"1994-11-30",0.0905146410810131
"1994-12-31",0.0938275316397414
"1995-01-31",0.0860943262017564
"1995-02-28",0.0862889385563852
"1995-03-31",0.0851954202329709
"1995-04-30",0.0831272286441491
"1995-05-31",0.0854243041005859
"1995-06-30",0.0850311625796072
"1995-07-31",0.0796147891147229
"1995-08-31",0.0784340806817649
"1995-09-30",0.0787596931282215
"1995-10-31",0.09441896602658
"1995-11-30",0.0921370116136001
"1995-12-31",0.0913649727266873
"1996-01-31",0.0776168056216429
"1996-02-29",0.0785188253136657
"1996-03-31",0.078156310556385
"1996-04-30",0.0790671885644384
"1996-05-31",0.0784903905360565
"1996-06-30",0.0779549646716798
"1996-07-31",0.0815217217789114
"1996-08-31",0.078782324869523
"1996-09-30",0.0809863635952071
"1996-10-31",0.0823334051002963
"1996-11-30",0.0864008270559455
"1996-12-31",0.0822938994264899
"1997-01-31",0.0894859421747643
"1997-02-28",0.0889937366853644
"1997-03-31",0.0897620081378478
"1997-04-30",0.0805698731690535
"1997-05-31",0.0786628404322487
"1997-06-30",0.0816648991152411
"1997-07-31",0.0840319502429482
"1997-08-31",0.0816227242737569
"1997-09-30",0.0838180296866257
"1997-10-31",0.0827023319493573
"1997-11-30",0.0866456934445359
"1997-12-31",0.083643429312781
"1998-01-31",0.0839506743975157
"1998-02-28",0.0833471760733391
"1998-03-31",0.0808679449079038
"1998-04-30",0.0805832184968514
"1998-05-31",0.0843421373155313
"1998-06-30",0.087356136583109
"1998-07-31",0.0835104001554522
"1998-08-31",0.0813289187198679
"1998-09-30",0.0822773219334219
"1998-10-31",0.0943784251272299
"1998-11-30",0.093513561490667
"1998-12-31",0.0937935789559822
"1999-01-31",0.0819480157374408
"1999-02-28",0.0790606525040762
"1999-03-31",0.0752657603473692
"1999-04-30",0.0800083315149455
"1999-05-31",0.0791262176745022
"1999-06-30",0.0791780550398779
"1999-07-31",0.0778204728653073
"1999-08-31",0.0791389805106785
"1999-09-30",0.0805983697533545
"1999-10-31",0.0793807978443989
"1999-11-30",0.0810833595954547
"1999-12-31",0.0823942892986616
"2000-01-31",0.0815022153964136
"2000-02-29",0.0822331350652709
"2000-03-31",0.086957467973587
"2000-04-30",0.0866299540127822
"2000-05-31",0.0850686432396849
"2000-06-30",0.0802159301224669
"2000-07-31",0.0791155633270453
"2000-08-31",0.0797435455247923
"2000-09-30",0.0767405196527074
"2000-10-31",0.0764239597555616
"2000-11-30",0.0767891342738802
"2000-12-31",0.0801233405142115
"2001-01-31",0.0831349904665793
"2001-02-28",0.0807446082433055
"2001-03-31",0.074332190007581
"2001-04-30",0.0693968904034934
"2001-05-31",0.0696690734295541
"2001-06-30",0.0681742595483903
"2001-07-31",0.0700802698243021
"2001-08-31",0.0703429351645026
"2001-09-30",0.0711015196054957
"2001-10-31",0.0720738881021841
"2001-11-30",0.0670314090446725
"2001-12-31",0.0671084644712071
"2002-01-31",0.0654852060428015
"2002-02-28",0.0680839787781005
"2002-03-31",0.070997659234133
"2002-04-30",0.0720568569386621
"2002-05-31",0.0711766705712086
"2002-06-30",0.0720588031369146
"2002-07-31",0.0732748658952612
"2002-08-31",0.0778268358866677
"2002-09-30",0.0782834685481289
"2002-10-31",0.0770014973946842
"2002-11-30",0.0753475206774234
"2002-12-31",0.0741157297924267
"2003-01-31",0.0734383614260629
"2003-02-28",0.0740994878085691
"2003-03-31",0.0741066205410146
"2003-04-30",0.0731735885307334
"2003-05-31",0.0733724541473159
"2003-06-30",0.0748868975918428
"2003-07-31",0.0728753442161767
"2003-08-31",0.0719503663923914
"2003-09-30",0.0724402953193395
"2003-10-31",0.0748575593932546
"2003-11-30",0.0747685681784745
"2003-12-31",0.0732588828417858
"2004-01-31",0.0760062140754168
"2004-02-29",0.0763583895169717
"2004-03-31",0.0794400031676733
"2004-04-30",0.0779851612933598
"2004-05-31",0.0822263375997949
"2004-06-30",0.0787762171707543
"2004-07-31",0.0785645326979858
"2004-08-31",0.0767327528294184
"2004-09-30",0.0778409479147278
"2004-10-31",0.0816405163655756
"2004-11-30",0.0794686218244072
"2004-12-31",0.0827395654017357
"2005-01-31",0.0759423556098521
"2005-02-28",0.0773760078436304
"2005-03-31",0.075134165306208
"2005-04-30",0.0823003131698007
"2005-05-31",0.0812114686686566
"2005-06-30",0.0823357054987968
"2005-07-31",0.0793301676133233
"2005-08-31",0.0826973714007187
"2005-09-30",0.080446330584335
"2005-10-31",0.0752829033165738
"2005-11-30",0.0735391969216342
"2005-12-31",0.0763346880911985
"2006-01-31",0.0810870550175634
"2006-02-28",0.0808586009633152
"2006-03-31",0.0795683656553315
"2006-04-30",0.0769563801043455
"2006-05-31",0.0765252420545292
"2006-06-30",0.0760017981807688
"2006-07-31",0.0768418764431258
"2006-08-31",0.0765610801329742
"2006-09-30",0.0762710442056452
"2006-10-31",0.0742954894799804
"2006-11-30",0.0761799020218242
