"","x"
"levelSlope",3.2
"T10Y3MM",100
"curvature",35.5
"TEDRATE",6.5
"BAA10YM",23.4
"AAA10YM",9.5
"Returns3MSPX500",68
"Returns3MM2SL",23
"Returns3MM2REAL",3.2
"Returns3MTWEXOMTH",100
"Returns3MINDPRO",5.6
"Returns3MDSPIC96",3.4
"Returns3MconsumReal",7.6
"Returns3MPERMIT",59.4
"Returns3MPAYEMS",44
"Returns3MIC4WSA",6
"Returns3MAWHMAN",3
"Returns3MUSPMI",90.4
"Returns3MUNRATE",2.8
"GZSPREAD",75.8
