"","x"
"levelSlope",5.3
"T10Y3MM",100
"curvature",54.9
"TEDRATE",100
"BAA10YM",5.5
"AAA10YM",67.6
"Returns3MSPX500",36.1
"Returns3MM2SL",95.1
"Returns3MM2REAL",100
"Returns3MTWEXOMTH",4.8
"Returns3MINDPRO",70.2
"Returns3MDSPIC96",98.5
"Returns3MconsumReal",4.7
"Returns3MPERMIT",3.7
"Returns3MPAYEMS",53.9
"Returns3MIC4WSA",9.2
"Returns3MAWHMAN",3.2
"Returns3MUSPMI",53.2
"Returns3MUNRATE",20.9
"GZSPREAD",75.2
