"","VTI","EFA","VWO","SPY","IJH","IWM","EWU","VGK","EWJ","AXJL","GXC"
"Equilibrium",-0.000557895329773004,-0.000506552770989256,-0.000948127900009401,-0.000558571496520383,-0.000427829796682071,-0.000693326943104159,-0.000829523654507461,-0.000648291880266088,0.000170965143872288,-0.00103364413244471,-0.0015304344533808
"Equilibrium to Peak",-7.27460622282467e-05,-0.000529326529730477,-0.000901085852870984,-2.47043400117203e-05,-8.21160713226446e-05,-0.00029784778705759,-0.000726390224567028,-0.000532915954038091,-0.000406145676877694,-0.000855034172438196,-0.00123900439070581
"Equilibrium to Pit",-0.00139611386996108,-0.00173762479780625,-0.00171726863575442,-0.00143934371306352,-0.00114803018095663,-0.00120974001678225,-0.00202592101660413,-0.0020212877319001,-0.00128004336091303,-0.00196725041985557,-0.00121034903185414
"Peak to Equilibrium",0.000454307122136508,0.000767653705202563,0.00258709709495292,0.000490885119507348,0.000349848473219242,0.000166181479689048,0.000779751828272305,0.000936426079296137,-0.000239705515138542,0.00221626599830384,0.00486065174594367
"Pit to Equilibrium",0.000617701007099845,0.000261209275861364,0.000258787191694777,0.000599520738262102,0.000668081314471533,0.000632779780883984,0.000301463797019525,0.000261433764007882,0.000195117041991769,0.000330198013291832,0.000316130382205373
