"","date","VTI","EFA","VWO","SPY","IJH","IWM","EWU","VGK","EWJ","AXJL","GXC","Cycle"
"1",2007-03-26,"-0.00594054233294816","0.00039207998934021","-0.000508130092233827","-0.00132593620040211","-0.00738443254778431","-0.00274554022459128","0.00413394553172797","0.00239453597054595","-0.00538359308347225","0.00417412651377891","0.00836824967051664","Peak to Equilibrium"
"2",2007-03-27,"-0.00400351719990777","-0.00445260033691142","-0.00547876760661081","-0.00237712479971908","-0.00117716317301486","-0.00488569715973597","-0.00703790940613302","-0.00564335583495534","-0.00405680069561454","0.000148754183985744","-0.00780818244781178","Peak to Equilibrium"
"3",2007-03-28,"-0.00656666084291491","-0.00883269864767389","-0.00885472580492586","-0.00730648185097582","-0.0051960438115044","-0.0051621140755822","-0.0087628351252107","-0.0105249158162657","-0.00748048370925014","-0.014367180710444","-0.0137181518002158","Peak to Equilibrium"
"4",2007-03-29,"0.00275901275083967","0.00870143921321365","0.0191503362905951","0.00105711979963186","-0.00201481549640636","-0.000505050515785754","0.00834729387676303","0.0120800161508683","0.00136425669181417","0.0162989741635693","0.0224518317689704","Peak to Equilibrium"
"5",2007-03-30,"-0.000565331087066134","0.00104959337895938","-0.00265907089251627","0.000211289925778679","0.00367103260278689","0.00415905823540719","0.000415541248447671","0.00183473341990936","-0.00683997194777719","0.00459158031006357","-0.00836047600846079","Peak to Equilibrium"
"6",2007-04-02,"0.00247096740500741","0.00314218640307207","0.00871052657587157","0.00112612624513542","0.00271498720746521","0.00301394175156133","0.00703790940613302","0.00982188336427914","-0.00550586387452245","0.0053058341128347","0.01830164771691","Peak to Equilibrium"
"7",2007-04-03,"0.00905491744693432","0.00833121194759201","0.0148465081169946","0.0107050173947192","0.00704807334388402","0.00973304414250009","0.00698872320375488","0.00543063369048902","0.00824746943001697","0.0137228430862306","0.00929900036520248","Peak to Equilibrium"
"8",2007-04-04,"0.00104759586352099","0.00413972130652418","0.00333807567177846","0.00111288875644178","0.00093600100433644","0.00049658598165081","-0.00864025124222767","0.000971615039306428","0.00750088753812239","0.00765512512754629","0.00470759515054553","Peak to Equilibrium"
"9",2007-04-05,"0.00278823546034968","0.00360825133747067","0.00271169893763945","0.00270748889750472","0.00221949743587047","-0.00161480688465332","0.00782057906518796","0.0100766951065374","-0.00272109011436061","0.00631097906448375","0.0046855374964041","Peak to Equilibrium"
"10",2007-04-09,"0.00118264996914252","-0.000772101441007145","0.0058885858529405","0.0013856175141953","0.00314557258261861","0.00161480688465332","-0.00287415512986255","-0.00523273019938486","-0.00136332672786432","0.00242770558364658","0.00645163528148895","Peak to Equilibrium"
"11",2007-04-10,"0.00277720097962142","0.00743879279919657","0.0030570040998148","0.00117626721744379","0.00197548143961157","0.00285059373794549","0.00574007316106018","0.00920778854849846","0.00340483815484083","0.0127552749751256","0.0048115569972218","Peak to Equilibrium"
"12",2007-04-11,"-0.00639913152543858","-0.00486743627826769","-0.00280984852880817","-0.00408828480598","-0.00523774694493717","-0.00620734457433425","-0.00245599795987017","-0.00479946070413106","-0.00408719915026978","-0.0089115803005626","-0.00749468176226031","Peak to Equilibrium"
"13",2007-04-12,"0.00653778931822835","0.00665474685236411","0.0126430081844555","0.00443398260041405","0.00605004754080607","0.00670227158270453","0.00816331063916076","0.00889502956886812","-0.00136612043104334","0.0129871955268106","0.0207399085122812","Peak to Equilibrium"
"14",2007-04-13,"0.00332203226130456","0.00331083964730094","0.00325634973871747","0.00455204593186576","0.0032426200965876","0.00690338047307471","0.00809721023261956","0.00557028816149074","-0.00823614813593654","0.00238145381163779","-0.00351494210744452","Peak to Equilibrium"
"15",2007-04-16,"0.010037207874011","0.0104964605813578","0.0124448177855028","0.00945147779593469","0.00932166252713618","0.0128167759971127","0.00843209171859138","0.0109143440110513","0.0143690464046338","0.0137569042350432","0.019181058851844","Peak to Equilibrium"
"16",2007-04-17,"0.0015720586949719","0.000125794075264807","-0.0035739852196115","0.0026549591823164","0.000229068836186563","-0.00230708620332987","0.00558215165622","0.000267988746076142","-0.00613289826869723","0.00137912033995047","-0.00554209939492001","Peak to Equilibrium"
"17",2007-04-18,"0.00088746293840547","-0.000377429708198207","-0.00466535926049394","0.00122299240681922","-0.00240784385094273","-0.0058522478657812","-0.00478279110206525","-0.000536049329372901","0.00136612043104334","-0.00206939440615184","-0.00470015662038392","Peak to Equilibrium"
"18",2007-04-19,"-0.00184407387572172","-0.00378215276874538","-0.00673727283731784","-0.000271646860753982","-0.00391074802540281","-0.00514896319619229","-0.00360216519179213","-0.00214707543566561","-0.00478960888256408","-0.0155883462711923","-0.0167154415331661","Peak to Equilibrium"
"19",2007-04-20,"0.00884780834904042","0.0114286958236223","0.0148576900413122","0.00939672285200643","0.01157274445469","0.0116088552442486","0.00679323291760303","0.0128138432398606","0.00410678195265346","0.0176577406773442","0.0167154415331661","Peak to Equilibrium"
"20",2007-04-23,"-0.0019669691287687","-0.00978800636616217","-0.00417139035235525","-0.0037751157143715","0.000113914678029126","-0.00121565782051114","-0.00679323291760303","-0.00772204609391025","-0.0109891215755953","-0.00858136753940375","-0.0103482463397739","Peak to Equilibrium"
"21",2007-04-24,"-0.000135795763380742","-0.000630715883412236","0.000716332408854825","0.000405159030459679","0","0.000972644453580251","-0.00321285416932549","0.00120216403979168","-0.00138217022695164","-0.0127301152577592","0","Peak to Equilibrium"
